10:31:47: CPU=98.6%, RAM=25Gi/62Gi, Load=14.42
10:32:18: CPU=99.2%, RAM=25Gi/62Gi, Load=14.84
10:32:48: CPU=97.3%, RAM=25Gi/62Gi, Load=14.89
10:33:19: CPU=98.0%, RAM=25Gi/62Gi, Load=15.43
10:33:50: CPU=99.1%, RAM=25Gi/62Gi, Load=14.48
10:34:21: CPU=97.6%, RAM=25Gi/62Gi, Load=13.62
10:34:52: CPU=98.2%, RAM=26Gi/62Gi, Load=14.13
10:35:23: CPU=10.3%, RAM=3.7Gi/62Gi, Load=12.45
10:35:53: CPU=98.6%, RAM=9.6Gi/62Gi, Load=11.31
10:36:24: CPU=97.6%, RAM=9.2Gi/62Gi, Load=9.99
10:36:55: CPU=49.5%, RAM=11Gi/62Gi, Load=11.03
10:37:25: CPU=23.2%, RAM=11Gi/62Gi, Load=8.11
10:37:56: CPU=99.5%, RAM=15Gi/62Gi, Load=10.87
10:38:27: CPU=98.1%, RAM=15Gi/62Gi, Load=12.49
10:38:58: CPU=98.3%, RAM=12Gi/62Gi, Load=12.77
10:39:28: CPU=40.4%, RAM=12Gi/62Gi, Load=10.26
10:39:59: CPU=2.5%, RAM=7.0Gi/62Gi, Load=7.32
10:40:29: CPU=35.3%, RAM=7.1Gi/62Gi, Load=7.75
10:41:00: CPU=66.7%, RAM=6.1Gi/62Gi, Load=8.07
10:41:31: CPU=94.3%, RAM=9.6Gi/62Gi, Load=7.15
10:42:01: CPU=99.1%, RAM=10Gi/62Gi, Load=6.14
10:42:32: CPU=97.7%, RAM=11Gi/62Gi, Load=6.98
10:43:03: CPU=95.3%, RAM=13Gi/62Gi, Load=7.02
10:43:34: CPU=11.0%, RAM=13Gi/62Gi, Load=8.18
10:44:04: CPU=99.1%, RAM=14Gi/62Gi, Load=7.49
10:44:35: CPU=86.2%, RAM=15Gi/62Gi, Load=9.06
10:45:06: CPU=20.9%, RAM=15Gi/62Gi, Load=7.92
10:45:36: CPU=98.3%, RAM=12Gi/62Gi, Load=7.47
10:46:07: CPU=94.7%, RAM=14Gi/62Gi, Load=5.55
10:46:37: CPU=85.7%, RAM=15Gi/62Gi, Load=3.50
10:47:08: CPU=98.6%, RAM=11Gi/62Gi, Load=5.35
10:47:39: CPU=95.5%, RAM=11Gi/62Gi, Load=6.56
10:48:10: CPU=25.0%, RAM=12Gi/62Gi, Load=7.24
10:48:40: CPU=98.6%, RAM=10Gi/62Gi, Load=4.14
10:49:12: CPU=98.6%, RAM=12Gi/62Gi, Load=6.98
10:49:43: CPU=99.1%, RAM=12Gi/62Gi, Load=8.31
10:50:14: CPU=86.7%, RAM=14Gi/62Gi, Load=10.17
10:50:44: CPU=94.8%, RAM=14Gi/62Gi, Load=10.08
10:51:15: CPU=98.9%, RAM=16Gi/62Gi, Load=8.85
10:51:46: CPU=16.9%, RAM=14Gi/62Gi, Load=8.39
10:52:17: CPU=2.9%, RAM=8.1Gi/62Gi, Load=6.02
10:52:48: CPU=99.1%, RAM=9.9Gi/62Gi, Load=3.71
10:53:18: CPU=98.6%, RAM=10Gi/62Gi, Load=5.20
10:53:49: CPU=7.3%, RAM=10Gi/62Gi, Load=6.55
10:54:19: CPU=50.2%, RAM=8.4Gi/62Gi, Load=6.28
10:54:50: CPU=98.2%, RAM=9.6Gi/62Gi, Load=5.15
10:55:21: CPU=87.0%, RAM=11Gi/62Gi, Load=8.68
10:55:52: CPU=99.1%, RAM=10Gi/62Gi, Load=8.67
10:56:23: CPU=99.1%, RAM=6.9Gi/62Gi, Load=6.96
10:56:54: CPU=95.9%, RAM=8.6Gi/62Gi, Load=7.52
10:57:25: CPU=99.1%, RAM=7.1Gi/62Gi, Load=7.13
10:57:56: CPU=99.1%, RAM=7.0Gi/62Gi, Load=10.62
10:58:27: CPU=99.1%, RAM=7.0Gi/62Gi, Load=12.44
10:58:58: CPU=99.1%, RAM=7.1Gi/62Gi, Load=11.72
10:59:29: CPU=98.8%, RAM=7.1Gi/62Gi, Load=13.10
11:00:00: CPU=98.6%, RAM=7.1Gi/62Gi, Load=14.05
11:00:31: CPU=98.7%, RAM=8.1Gi/62Gi, Load=13.70
11:01:02: CPU=96.6%, RAM=8.1Gi/62Gi, Load=14.47
11:01:32: CPU=99.2%, RAM=8.1Gi/62Gi, Load=14.64
11:02:03: CPU=98.2%, RAM=8.1Gi/62Gi, Load=14.61
11:02:34: CPU=99.1%, RAM=9.1Gi/62Gi, Load=14.43
11:03:05: CPU=99.1%, RAM=9.1Gi/62Gi, Load=13.42
11:03:35: CPU=99.1%, RAM=9.1Gi/62Gi, Load=14.02
11:04:07: CPU=28.6%, RAM=9.1Gi/62Gi, Load=14.98
11:04:37: CPU=99.1%, RAM=10Gi/62Gi, Load=13.39
11:05:08: CPU=99.1%, RAM=10Gi/62Gi, Load=14.24
11:05:39: CPU=99.1%, RAM=10Gi/62Gi, Load=13.78
11:06:10: CPU=98.2%, RAM=10Gi/62Gi, Load=13.37
11:06:41: CPU=99.1%, RAM=10Gi/62Gi, Load=11.51
11:07:12: CPU=3.9%, RAM=5.6Gi/62Gi, Load=8.30
11:07:42: CPU=97.6%, RAM=8.6Gi/62Gi, Load=10.34
11:08:13: CPU=99.0%, RAM=8.6Gi/62Gi, Load=11.87
11:08:44: CPU=98.2%, RAM=9.6Gi/62Gi, Load=11.66
11:09:15: CPU=3.6%, RAM=9.6Gi/62Gi, Load=14.10
11:09:46: CPU=95.0%, RAM=20Gi/62Gi, Load=9.91
11:10:17: CPU=98.1%, RAM=20Gi/62Gi, Load=11.88
11:10:48: CPU=97.4%, RAM=20Gi/62Gi, Load=13.27
11:11:19: CPU=97.8%, RAM=21Gi/62Gi, Load=12.82
11:11:50: CPU=99.2%, RAM=25Gi/62Gi, Load=12.19
11:12:21: CPU=98.1%, RAM=25Gi/62Gi, Load=14.36
11:12:52: CPU=96.0%, RAM=25Gi/62Gi, Load=14.97
11:13:23: CPU=92.7%, RAM=25Gi/62Gi, Load=15.06
11:13:54: CPU=92.7%, RAM=26Gi/62Gi, Load=15.68
11:14:25: CPU=99.0%, RAM=26Gi/62Gi, Load=15.20
11:14:56: CPU=98.3%, RAM=26Gi/62Gi, Load=15.16
11:15:27: CPU=98.1%, RAM=24Gi/62Gi, Load=13.40
11:15:58: CPU=99.2%, RAM=24Gi/62Gi, Load=13.34
11:16:29: CPU=97.1%, RAM=24Gi/62Gi, Load=14.06
11:17:00: CPU=96.8%, RAM=24Gi/62Gi, Load=13.94
11:17:30: CPU=99.1%, RAM=24Gi/62Gi, Load=13.29
11:18:01: CPU=97.6%, RAM=24Gi/62Gi, Load=13.58
11:18:32: CPU=97.0%, RAM=24Gi/62Gi, Load=14.33
11:19:03: CPU=95.8%, RAM=25Gi/62Gi, Load=13.96
11:19:34: CPU=82.2%, RAM=25Gi/62Gi, Load=14.27
11:20:05: CPU=99.1%, RAM=25Gi/62Gi, Load=11.50
11:20:35: CPU=98.3%, RAM=24Gi/62Gi, Load=13.02
11:21:06: CPU=57.9%, RAM=24Gi/62Gi, Load=14.03
11:21:37: CPU=99.5%, RAM=25Gi/62Gi, Load=13.58
11:22:08: CPU=92.8%, RAM=25Gi/62Gi, Load=11.71
11:22:39: CPU=98.2%, RAM=25Gi/62Gi, Load=12.18
