16:13:21: CPU=99.1%, RAM=12Gi/62Gi, Load=12.99
16:13:52: CPU=99.1%, RAM=12Gi/62Gi, Load=14.18
16:14:23: CPU=99.1%, RAM=13Gi/62Gi, Load=13.81
16:14:54: CPU=34.5%, RAM=13Gi/62Gi, Load=11.27
16:15:25: CPU=98.6%, RAM=11Gi/62Gi, Load=9.76
16:15:56: CPU=98.7%, RAM=11Gi/62Gi, Load=12.37
16:16:27: CPU=99.1%, RAM=12Gi/62Gi, Load=12.78
16:16:58: CPU=98.7%, RAM=12Gi/62Gi, Load=13.80
16:17:28: CPU=97.8%, RAM=23Gi/62Gi, Load=10.38
16:17:59: CPU=97.9%, RAM=23Gi/62Gi, Load=13.12
16:18:30: CPU=98.3%, RAM=23Gi/62Gi, Load=14.35
16:19:01: CPU=97.7%, RAM=24Gi/62Gi, Load=12.75
16:19:32: CPU=87.9%, RAM=28Gi/62Gi, Load=12.96
16:20:03: CPU=99.6%, RAM=28Gi/62Gi, Load=13.87
16:20:34: CPU=96.9%, RAM=28Gi/62Gi, Load=14.66
16:21:04: CPU=97.4%, RAM=28Gi/62Gi, Load=13.55
16:21:35: CPU=93.9%, RAM=29Gi/62Gi, Load=12.05
16:22:06: CPU=99.2%, RAM=29Gi/62Gi, Load=13.08
16:22:37: CPU=95.2%, RAM=29Gi/62Gi, Load=14.15
16:23:08: CPU=98.6%, RAM=29Gi/62Gi, Load=14.31
16:23:39: CPU=98.2%, RAM=28Gi/62Gi, Load=14.13
16:24:10: CPU=97.6%, RAM=27Gi/62Gi, Load=14.92
16:24:41: CPU=97.5%, RAM=27Gi/62Gi, Load=14.28
16:25:11: CPU=94.5%, RAM=27Gi/62Gi, Load=14.24
16:25:43: CPU=96.4%, RAM=27Gi/62Gi, Load=14.88
16:26:13: CPU=98.1%, RAM=27Gi/62Gi, Load=15.06
16:26:44: CPU=99.1%, RAM=28Gi/62Gi, Load=13.90
16:27:15: CPU=98.8%, RAM=28Gi/62Gi, Load=13.72
16:27:46: CPU=98.7%, RAM=27Gi/62Gi, Load=13.33
16:28:17: CPU=98.6%, RAM=27Gi/62Gi, Load=14.83
16:28:47: CPU=96.8%, RAM=27Gi/62Gi, Load=15.30
16:29:18: CPU=95.8%, RAM=28Gi/62Gi, Load=13.82
16:29:49: CPU=99.2%, RAM=28Gi/62Gi, Load=11.72
16:30:20: CPU=98.7%, RAM=28Gi/62Gi, Load=11.62
16:30:51: CPU=4.9%, RAM=2.8Gi/62Gi, Load=9.06
16:31:21: CPU=98.5%, RAM=13Gi/62Gi, Load=8.68
16:31:52: CPU=98.1%, RAM=16Gi/62Gi, Load=9.35
16:32:23: CPU=98.6%, RAM=17Gi/62Gi, Load=10.40
16:32:53: CPU=95.0%, RAM=17Gi/62Gi, Load=11.69
16:33:24: CPU=99.1%, RAM=18Gi/62Gi, Load=12.58
16:33:55: CPU=98.6%, RAM=18Gi/62Gi, Load=12.97
16:34:26: CPU=97.6%, RAM=19Gi/62Gi, Load=13.60
16:34:57: CPU=95.4%, RAM=20Gi/62Gi, Load=12.39
16:35:28: CPU=82.5%, RAM=22Gi/62Gi, Load=11.79
16:35:59: CPU=98.8%, RAM=25Gi/62Gi, Load=12.60
16:36:30: CPU=97.0%, RAM=24Gi/62Gi, Load=14.19
16:37:00: CPU=95.2%, RAM=24Gi/62Gi, Load=14.71
16:37:31: CPU=95.8%, RAM=21Gi/62Gi, Load=12.56
16:38:02: CPU=93.5%, RAM=26Gi/62Gi, Load=13.12
16:38:33: CPU=95.1%, RAM=26Gi/62Gi, Load=14.07
16:39:04: CPU=90.6%, RAM=25Gi/62Gi, Load=14.53
16:39:34: CPU=20.4%, RAM=22Gi/62Gi, Load=11.82
16:40:05: CPU=8.1%, RAM=23Gi/62Gi, Load=8.33
16:40:36: CPU=99.1%, RAM=12Gi/62Gi, Load=9.58
16:41:07: CPU=99.1%, RAM=12Gi/62Gi, Load=9.98
16:41:38: CPU=99.1%, RAM=12Gi/62Gi, Load=11.12
16:42:09: CPU=88.9%, RAM=14Gi/62Gi, Load=11.60
16:42:40: CPU=24.8%, RAM=11Gi/62Gi, Load=11.70
16:43:10: CPU=96.7%, RAM=13Gi/62Gi, Load=9.57
16:43:41: CPU=96.7%, RAM=14Gi/62Gi, Load=7.18
16:44:12: CPU=43.3%, RAM=14Gi/62Gi, Load=6.43
16:44:42: CPU=14.0%, RAM=14Gi/62Gi, Load=5.51
16:45:13: CPU=98.7%, RAM=15Gi/62Gi, Load=7.70
16:45:44: CPU=44.0%, RAM=15Gi/62Gi, Load=6.76
16:46:14: CPU=94.3%, RAM=18Gi/62Gi, Load=6.96
16:46:45: CPU=99.1%, RAM=16Gi/62Gi, Load=6.51
16:47:16: CPU=94.2%, RAM=18Gi/62Gi, Load=6.74
16:47:47: CPU=99.1%, RAM=19Gi/62Gi, Load=6.38
16:48:18: CPU=97.2%, RAM=21Gi/62Gi, Load=7.64
16:48:49: CPU=10.4%, RAM=17Gi/62Gi, Load=6.54
16:49:19: CPU=22.9%, RAM=18Gi/62Gi, Load=4.21
16:49:50: CPU=95.8%, RAM=15Gi/62Gi, Load=4.80
16:50:21: CPU=96.7%, RAM=17Gi/62Gi, Load=5.83
16:50:52: CPU=98.6%, RAM=17Gi/62Gi, Load=5.64
16:51:23: CPU=81.6%, RAM=18Gi/62Gi, Load=4.70
16:51:53: CPU=98.1%, RAM=20Gi/62Gi, Load=3.08
16:52:24: CPU=89.6%, RAM=18Gi/62Gi, Load=6.20
16:52:55: CPU=98.6%, RAM=16Gi/62Gi, Load=4.99
16:53:26: CPU=94.4%, RAM=16Gi/62Gi, Load=6.33
16:53:57: CPU=76.6%, RAM=13Gi/62Gi, Load=5.80
16:54:27: CPU=79.5%, RAM=14Gi/62Gi, Load=7.03
16:54:58: CPU=98.6%, RAM=15Gi/62Gi, Load=9.57
16:55:29: CPU=94.2%, RAM=17Gi/62Gi, Load=5.98
16:56:00: CPU=99.1%, RAM=15Gi/62Gi, Load=7.96
16:56:30: CPU=99.0%, RAM=17Gi/62Gi, Load=8.57
16:57:02: CPU=99.1%, RAM=18Gi/62Gi, Load=9.36
16:57:33: CPU=97.3%, RAM=18Gi/62Gi, Load=7.87
16:58:03: CPU=7.1%, RAM=14Gi/62Gi, Load=7.30
16:58:33: CPU=95.8%, RAM=17Gi/62Gi, Load=6.86
16:59:04: CPU=15.5%, RAM=17Gi/62Gi, Load=7.08
16:59:35: CPU=98.2%, RAM=16Gi/62Gi, Load=6.98
17:00:06: CPU=12.0%, RAM=15Gi/62Gi, Load=9.15
17:00:37: CPU=99.1%, RAM=16Gi/62Gi, Load=7.02
17:01:08: CPU=18.2%, RAM=19Gi/62Gi, Load=5.87
17:01:38: CPU=14.3%, RAM=17Gi/62Gi, Load=7.49
17:02:09: CPU=99.1%, RAM=15Gi/62Gi, Load=7.45
17:02:39: CPU=99.0%, RAM=16Gi/62Gi, Load=9.33
17:03:10: CPU=99.1%, RAM=13Gi/62Gi, Load=10.14
17:03:41: CPU=3.9%, RAM=14Gi/62Gi, Load=9.87
